Date,Description,Merchant,Category,Amount
2024-02-05,Lyft purchase,Lyft,Transport,152.52
2023-03-19,Cash Withdrawal purchase,Cash Withdrawal,Misc,43.14
2023-09-07,Water Works purchase,Water Works,Utilities,478.22
2023-08-07,Shell purchase,Shell,Transport,191.75
2024-03-28,ExxonMobil purchase,ExxonMobil,Transport,384.02
2023-05-02,Walgreens purchase,Walgreens,Health,183.05
2023-07-22,Target purchase,Target,Shopping,248.48
2024-02-27,eBay purchase,eBay,Shopping,447.45
2023-06-16,ExxonMobil purchase,ExxonMobil,Transport,307.11
2024-03-30,Marriott purchase,Marriott,Travel,19.18
2024-03-03,Donation Center purchase,Donation Center,Misc,28.06
2024-04-19,Cash Withdrawal purchase,Cash Withdrawal,Misc,350.59
2023-10-28,Hulu purchase,Hulu,Entertainment,411.92
2024-02-09,Hulu purchase,Hulu,Entertainment,406.57
2023-03-30,Walgreens purchase,Walgreens,Health,387.5
2024-04-18,Gift Shop purchase,Gift Shop,Misc,401.19
2023-07-04,Cash Withdrawal purchase,Cash Withdrawal,Misc,97.02
2024-03-09,Delta purchase,Delta,Travel,35.68
2023-07-18,Costco purchase,Costco,Groceries,461.46
2023-07-16,Starbucks purchase,Starbucks,Dining,10.1
2023-01-03,Udemy purchase,Udemy,Education,387.83
2023-07-20,Local Store purchase,Local Store,Misc,161.47
2023-08-20,CVS Pharmacy purchase,CVS Pharmacy,Health,424.51
2023-06-05,Hulu purchase,Hulu,Entertainment,81.54
2023-08-06,edX purchase,edX,Education,370.79
2023-05-09,Health Clinic purchase,Health Clinic,Health,389.02
2023-06-29,Gas Supply purchase,Gas Supply,Utilities,290.98
2024-04-03,Whole Foods purchase,Whole Foods,Groceries,413.67
2024-02-26,Hulu purchase,Hulu,Entertainment,294.51
2023-06-12,Marriott purchase,Marriott,Travel,383.01
2024-02-23,Hulu purchase,Hulu,Entertainment,37.8
2023-02-15,Marriott purchase,Marriott,Travel,349.13
2024-05-05,Chipotle purchase,Chipotle,Dining,165.16
2023-12-24,Chipotle purchase,Chipotle,Dining,335.64
2023-06-11,Domino's purchase,Domino's,Dining,59.8
2023-10-06,Hulu purchase,Hulu,Entertainment,135.63
2023-02-16,Local Store purchase,Local Store,Misc,255.84
2023-07-17,Whole Foods purchase,Whole Foods,Groceries,498.9
2023-06-13,Amazon purchase,Amazon,Shopping,403.99
2023-02-06,Starbucks purchase,Starbucks,Dining,220.03
2024-04-15,Walgreens purchase,Walgreens,Health,135.58
2023-03-12,ExxonMobil purchase,ExxonMobil,Transport,378.79
2023-03-08,Best Buy purchase,Best Buy,Shopping,488.84
2023-05-10,Water Works purchase,Water Works,Utilities,257.02
2023-10-10,Expedia purchase,Expedia,Travel,277.16
2023-02-07,Walmart purchase,Walmart,Groceries,426.34
2024-01-10,Water Works purchase,Water Works,Utilities,28.51
2023-09-14,Electric Co purchase,Electric Co,Utilities,118.1
2023-09-15,Donation Center purchase,Donation Center,Misc,337.39
2024-02-07,Walmart purchase,Walmart,Groceries,454.48
2023-03-11,Shell purchase,Shell,Transport,184.88
2023-03-13,Marriott purchase,Marriott,Travel,193.14
2024-06-28,Netflix purchase,Netflix,Entertainment,386.93
2024-06-16,Starbucks purchase,Starbucks,Dining,436.28
2023-04-09,Coursera purchase,Coursera,Education,378.2
2023-03-19,Airbnb purchase,Airbnb,Travel,97.45
2023-09-25,Starbucks purchase,Starbucks,Dining,113.8
2023-11-12,edX purchase,edX,Education,339.99
2023-12-05,Domino's purchase,Domino's,Dining,231.29
2023-11-02,Uber purchase,Uber,Transport,485.63
2024-06-17,Local Store purchase,Local Store,Misc,473.13
2024-02-09,Costco purchase,Costco,Groceries,30.95
2023-10-27,GNC purchase,GNC,Health,46.7
2023-12-22,edX purchase,edX,Education,368.97
2023-03-13,AMC Theatres purchase,AMC Theatres,Entertainment,225.94
2024-01-04,Local Store purchase,Local Store,Misc,64.98
2023-10-09,Marriott purchase,Marriott,Travel,166.73
2024-04-13,Target purchase,Target,Shopping,151.7
2023-04-04,Best Buy purchase,Best Buy,Shopping,141.63
2023-03-03,Electric Co purchase,Electric Co,Utilities,86.73
2023-02-11,Chipotle purchase,Chipotle,Dining,434.53
2024-05-03,Gift Shop purchase,Gift Shop,Misc,86.92
2023-07-28,Starbucks purchase,Starbucks,Dining,346.22
2023-09-17,Udemy purchase,Udemy,Education,215.01
2023-08-05,eBay purchase,eBay,Shopping,489.78
2023-09-22,Best Buy purchase,Best Buy,Shopping,37.27
2024-01-23,Starbucks purchase,Starbucks,Dining,409.55
2024-04-22,Target purchase,Target,Shopping,206.26
2023-02-26,Expedia purchase,Expedia,Travel,351.66
2024-05-12,eBay purchase,eBay,Shopping,203.27
2024-04-26,Target purchase,Target,Shopping,470.59
2023-05-15,Netflix purchase,Netflix,Entertainment,57.33
2023-02-15,Donation Center purchase,Donation Center,Misc,233.69
2023-08-23,Amazon purchase,Amazon,Shopping,29.58
2024-05-30,Gas Supply purchase,Gas Supply,Utilities,119.84
2024-02-04,Uber purchase,Uber,Transport,358.1
2023-01-13,Domino's purchase,Domino's,Dining,235.87
2024-01-12,Donation Center purchase,Donation Center,Misc,274.88
2023-10-16,Domino's purchase,Domino's,Dining,198.96
2023-04-11,Cash Withdrawal purchase,Cash Withdrawal,Misc,321.02
2023-02-09,edX purchase,edX,Education,165.69
2024-02-14,Skillshare purchase,Skillshare,Education,180.54
2023-07-02,Best Buy purchase,Best Buy,Shopping,76.56
2023-01-14,CVS Pharmacy purchase,CVS Pharmacy,Health,33.85
2024-04-20,Starbucks purchase,Starbucks,Dining,421.64
2023-12-19,McDonald's purchase,McDonald's,Dining,40.9
2024-01-09,Donation Center purchase,Donation Center,Misc,212.89
2023-03-04,McDonald's purchase,McDonald's,Dining,249.19
2023-05-02,Domino's purchase,Domino's,Dining,22.2
2024-04-29,Target purchase,Target,Shopping,277.78
2024-01-08,Starbucks purchase,Starbucks,Dining,25.66
2023-03-09,Internet Provider purchase,Internet Provider,Utilities,300.49
2024-06-22,Internet Provider purchase,Internet Provider,Utilities,241.71
2024-04-19,Whole Foods purchase,Whole Foods,Groceries,477.28
2024-05-20,GNC purchase,GNC,Health,477.2
2023-02-20,Amazon purchase,Amazon,Shopping,157.49
2023-01-20,AMC Theatres purchase,AMC Theatres,Entertainment,291.6
2024-04-03,Hulu purchase,Hulu,Entertainment,190.57
2023-01-16,Cash Withdrawal purchase,Cash Withdrawal,Misc,325.9
2023-12-20,Gift Shop purchase,Gift Shop,Misc,140.2
2023-08-05,Marriott purchase,Marriott,Travel,146.47
2023-05-23,Spotify purchase,Spotify,Entertainment,439.11
2023-02-11,Local Store purchase,Local Store,Misc,183.75
2024-06-04,Health Clinic purchase,Health Clinic,Health,267.4
2023-06-18,Uber purchase,Uber,Transport,468.37
2024-04-23,Netflix purchase,Netflix,Entertainment,470.46
2023-12-22,Chipotle purchase,Chipotle,Dining,268.13
2023-03-26,ExxonMobil purchase,ExxonMobil,Transport,245.64
2023-08-11,Electric Co purchase,Electric Co,Utilities,321.79
2023-07-27,Internet Provider purchase,Internet Provider,Utilities,126.04
2023-03-20,Internet Provider purchase,Internet Provider,Utilities,460.3
2024-02-07,ExxonMobil purchase,ExxonMobil,Transport,72.61
2023-06-25,Chipotle purchase,Chipotle,Dining,87.12
2023-06-14,AMC Theatres purchase,AMC Theatres,Entertainment,5.08
2023-07-20,Netflix purchase,Netflix,Entertainment,302.42
2023-08-26,Gas Supply purchase,Gas Supply,Utilities,494.95
2023-09-18,Whole Foods purchase,Whole Foods,Groceries,81.33
2023-08-28,Netflix purchase,Netflix,Entertainment,119.12
2023-01-04,Cash Withdrawal purchase,Cash Withdrawal,Misc,401.77
2023-07-31,CVS Pharmacy purchase,CVS Pharmacy,Health,310.33
2023-02-23,Amazon purchase,Amazon,Shopping,333.29
2024-05-29,Best Buy purchase,Best Buy,Shopping,361.65
2023-02-18,Health Clinic purchase,Health Clinic,Health,112.77
2024-05-10,Cash Withdrawal purchase,Cash Withdrawal,Misc,40.93
2023-05-17,Internet Provider purchase,Internet Provider,Utilities,115.63
2023-05-08,Costco purchase,Costco,Groceries,206.54
2023-10-31,Electric Co purchase,Electric Co,Utilities,44.43
2024-01-25,Whole Foods purchase,Whole Foods,Groceries,245.79
2024-01-01,Skillshare purchase,Skillshare,Education,149.29
2023-05-14,Marriott purchase,Marriott,Travel,134.7
2023-12-30,Walgreens purchase,Walgreens,Health,18.79
2023-07-15,Skillshare purchase,Skillshare,Education,426.83
2023-08-21,Target purchase,Target,Shopping,362.43
2024-04-09,Trader Joe's purchase,Trader Joe's,Groceries,344.56
2023-03-05,Coursera purchase,Coursera,Education,21.52
2024-03-14,GNC purchase,GNC,Health,451.06
2024-05-03,Trader Joe's purchase,Trader Joe's,Groceries,289.46
2023-08-14,Donation Center purchase,Donation Center,Misc,374.42
2023-03-17,McDonald's purchase,McDonald's,Dining,172.11
2023-10-25,Water Works purchase,Water Works,Utilities,125.91
2023-11-02,CVS Pharmacy purchase,CVS Pharmacy,Health,170.43
2023-05-20,Marriott purchase,Marriott,Travel,37.82
2024-03-29,AMC Theatres purchase,AMC Theatres,Entertainment,354.32
2024-01-02,Gift Shop purchase,Gift Shop,Misc,341.31
2024-03-15,Hulu purchase,Hulu,Entertainment,52.55
2024-05-09,Target purchase,Target,Shopping,113.97
2024-05-10,Best Buy purchase,Best Buy,Shopping,211.26
2023-10-06,eBay purchase,eBay,Shopping,116.77
2023-08-09,Trader Joe's purchase,Trader Joe's,Groceries,198.46
2023-03-03,Walgreens purchase,Walgreens,Health,32.63
2023-08-04,Delta purchase,Delta,Travel,354.45
2023-10-24,Cash Withdrawal purchase,Cash Withdrawal,Misc,328.26
2024-01-29,Best Buy purchase,Best Buy,Shopping,62.61
2023-10-01,Marriott purchase,Marriott,Travel,76.18
2023-11-27,Delta purchase,Delta,Travel,221.2
2023-03-21,GNC purchase,GNC,Health,209.59
2023-06-11,Expedia purchase,Expedia,Travel,365.76
2023-12-03,Trader Joe's purchase,Trader Joe's,Groceries,55.37
2023-10-30,GNC purchase,GNC,Health,128.04
2023-12-29,Cash Withdrawal purchase,Cash Withdrawal,Misc,169.77
2024-05-31,Gift Shop purchase,Gift Shop,Misc,326.65
2023-11-25,Target purchase,Target,Shopping,417.2
2024-03-27,Uber purchase,Uber,Transport,413.62
2023-01-29,McDonald's purchase,McDonald's,Dining,215.33
2023-02-25,Water Works purchase,Water Works,Utilities,121.73
2023-07-26,Shell purchase,Shell,Transport,139.6
2023-02-15,AMC Theatres purchase,AMC Theatres,Entertainment,431.78
2024-04-01,Netflix purchase,Netflix,Entertainment,272.21
2023-12-26,Chipotle purchase,Chipotle,Dining,139.82
2023-12-08,Trader Joe's purchase,Trader Joe's,Groceries,399.64
2024-02-17,Gift Shop purchase,Gift Shop,Misc,222.59
2024-02-01,Walmart purchase,Walmart,Groceries,368.54
2023-02-12,Udemy purchase,Udemy,Education,208.76
2024-01-08,eBay purchase,eBay,Shopping,169.56
2023-02-21,AMC Theatres purchase,AMC Theatres,Entertainment,391.6
2024-06-09,eBay purchase,eBay,Shopping,80.97
2023-06-05,Gift Shop purchase,Gift Shop,Misc,301.75
2023-03-02,AMC Theatres purchase,AMC Theatres,Entertainment,432.95
2023-12-17,GNC purchase,GNC,Health,148.98
2023-08-08,Marriott purchase,Marriott,Travel,329.69
2023-05-20,McDonald's purchase,McDonald's,Dining,340.65
2024-05-19,Cash Withdrawal purchase,Cash Withdrawal,Misc,126.5
2024-03-12,Target purchase,Target,Shopping,149.26
2024-03-01,Domino's purchase,Domino's,Dining,151.51
2024-02-27,CVS Pharmacy purchase,CVS Pharmacy,Health,481.2
2024-06-06,eBay purchase,eBay,Shopping,153.21
2023-04-22,Delta purchase,Delta,Travel,495.93
2023-03-06,Domino's purchase,Domino's,Dining,405.07
2023-09-18,Marriott purchase,Marriott,Travel,349.9
2023-03-23,Chipotle purchase,Chipotle,Dining,266.86
2024-05-15,Water Works purchase,Water Works,Utilities,299.65
2024-05-28,Walgreens purchase,Walgreens,Health,196.04
2023-09-02,AMC Theatres purchase,AMC Theatres,Entertainment,494.0
2023-02-20,Domino's purchase,Domino's,Dining,175.21
2023-05-26,ExxonMobil purchase,ExxonMobil,Transport,425.09
2023-05-09,CVS Pharmacy purchase,CVS Pharmacy,Health,328.17
2023-11-15,Marriott purchase,Marriott,Travel,32.87
2023-01-26,Domino's purchase,Domino's,Dining,374.18
2023-02-23,Skillshare purchase,Skillshare,Education,348.06
2023-01-09,Whole Foods purchase,Whole Foods,Groceries,442.75
2023-07-23,Domino's purchase,Domino's,Dining,272.3
2023-03-23,Amazon purchase,Amazon,Shopping,173.22
2023-09-23,Starbucks purchase,Starbucks,Dining,18.34
2024-05-17,edX purchase,edX,Education,26.75
2024-03-07,ExxonMobil purchase,ExxonMobil,Transport,440.97
2023-08-11,Delta purchase,Delta,Travel,328.92
2023-02-27,Lyft purchase,Lyft,Transport,273.53
2023-02-12,Chipotle purchase,Chipotle,Dining,75.68
2024-06-12,Amazon purchase,Amazon,Shopping,337.03
2024-01-21,Skillshare purchase,Skillshare,Education,321.1
2023-12-13,Gift Shop purchase,Gift Shop,Misc,297.98
2023-12-24,Skillshare purchase,Skillshare,Education,167.57
2023-12-12,Chipotle purchase,Chipotle,Dining,274.35
2024-05-05,Whole Foods purchase,Whole Foods,Groceries,161.63
2023-09-21,Airbnb purchase,Airbnb,Travel,12.45
2023-12-12,Walgreens purchase,Walgreens,Health,6.08
2023-06-02,Expedia purchase,Expedia,Travel,195.49
2024-01-24,Netflix purchase,Netflix,Entertainment,280.12
2024-06-17,Electric Co purchase,Electric Co,Utilities,188.25
2023-02-03,Donation Center purchase,Donation Center,Misc,46.53
2023-04-20,Expedia purchase,Expedia,Travel,34.21
2023-12-13,Electric Co purchase,Electric Co,Utilities,57.79
2024-01-11,Gas Supply purchase,Gas Supply,Utilities,124.9
2023-04-02,Cash Withdrawal purchase,Cash Withdrawal,Misc,253.73
2023-11-25,Udemy purchase,Udemy,Education,454.72
2024-05-03,Donation Center purchase,Donation Center,Misc,305.9
2023-12-06,Udemy purchase,Udemy,Education,277.89
2023-06-11,Shell purchase,Shell,Transport,99.26
2023-11-01,Target purchase,Target,Shopping,18.96
2023-08-10,Marriott purchase,Marriott,Travel,241.03
2023-12-25,Expedia purchase,Expedia,Travel,173.39
2023-01-08,Lyft purchase,Lyft,Transport,488.31
2024-05-24,Airbnb purchase,Airbnb,Travel,398.93
2024-04-23,Electric Co purchase,Electric Co,Utilities,343.84
2023-12-22,eBay purchase,eBay,Shopping,241.86
2024-03-08,edX purchase,edX,Education,448.42
2023-07-22,Target purchase,Target,Shopping,247.29
2023-09-23,edX purchase,edX,Education,270.9
2024-05-22,Coursera purchase,Coursera,Education,356.43
2023-02-22,Cash Withdrawal purchase,Cash Withdrawal,Misc,28.86
2024-04-07,Airbnb purchase,Airbnb,Travel,236.71
2023-06-14,Internet Provider purchase,Internet Provider,Utilities,228.12
2024-06-03,Shell purchase,Shell,Transport,463.86
2024-06-07,Trader Joe's purchase,Trader Joe's,Groceries,421.93
2023-07-12,Amazon purchase,Amazon,Shopping,243.25
2024-03-26,eBay purchase,eBay,Shopping,400.71
2023-09-28,Electric Co purchase,Electric Co,Utilities,483.23
2023-04-03,Airbnb purchase,Airbnb,Travel,444.55
2023-03-16,Domino's purchase,Domino's,Dining,19.71
2023-09-21,Skillshare purchase,Skillshare,Education,443.59
2024-02-28,Hulu purchase,Hulu,Entertainment,138.22
2023-10-01,Water Works purchase,Water Works,Utilities,446.77
2024-03-01,Local Store purchase,Local Store,Misc,271.55
2023-09-30,eBay purchase,eBay,Shopping,176.07
2023-07-12,Chipotle purchase,Chipotle,Dining,27.09
2023-11-25,Starbucks purchase,Starbucks,Dining,443.33
2023-06-16,Costco purchase,Costco,Groceries,431.98
2023-06-14,Skillshare purchase,Skillshare,Education,315.49
2024-06-06,ExxonMobil purchase,ExxonMobil,Transport,488.13
2023-08-18,eBay purchase,eBay,Shopping,153.22
2023-10-19,Gas Supply purchase,Gas Supply,Utilities,73.49
2023-09-29,Delta purchase,Delta,Travel,499.89
2023-12-26,Gas Supply purchase,Gas Supply,Utilities,314.47
2023-05-27,eBay purchase,eBay,Shopping,303.03
2024-06-29,Spotify purchase,Spotify,Entertainment,425.04
2023-12-15,Best Buy purchase,Best Buy,Shopping,378.27
2023-02-07,Hulu purchase,Hulu,Entertainment,367.88
2024-04-05,Donation Center purchase,Donation Center,Misc,188.7
2024-05-08,Local Store purchase,Local Store,Misc,311.04
2023-08-16,Airbnb purchase,Airbnb,Travel,300.3
2023-07-17,Starbucks purchase,Starbucks,Dining,412.88
2023-06-10,Uber purchase,Uber,Transport,314.32
2023-05-24,Delta purchase,Delta,Travel,295.58
2023-11-24,Amazon purchase,Amazon,Shopping,271.71
2023-11-08,Gift Shop purchase,Gift Shop,Misc,28.17
2023-10-01,Gift Shop purchase,Gift Shop,Misc,38.73
2023-12-22,Target purchase,Target,Shopping,300.85
2024-07-04,Water Works purchase,Water Works,Utilities,398.14
2023-04-16,Trader Joe's purchase,Trader Joe's,Groceries,234.69
2023-02-13,Marriott purchase,Marriott,Travel,82.81
2024-01-13,AMC Theatres purchase,AMC Theatres,Entertainment,438.79
2023-12-27,Walmart purchase,Walmart,Groceries,49.06
2024-04-05,Starbucks purchase,Starbucks,Dining,223.68
2023-10-27,Amazon purchase,Amazon,Shopping,241.22
2023-09-16,GNC purchase,GNC,Health,178.6
2023-11-16,Marriott purchase,Marriott,Travel,357.18
2023-11-15,eBay purchase,eBay,Shopping,94.77
2023-11-27,Gas Supply purchase,Gas Supply,Utilities,176.59
2024-01-08,Hulu purchase,Hulu,Entertainment,64.06
2024-05-22,Internet Provider purchase,Internet Provider,Utilities,207.25
2024-03-12,Target purchase,Target,Shopping,376.21
2024-01-14,Amazon purchase,Amazon,Shopping,267.24
2023-01-01,Electric Co purchase,Electric Co,Utilities,370.94
2024-02-23,Water Works purchase,Water Works,Utilities,308.37
2023-09-15,Shell purchase,Shell,Transport,192.48
2024-05-23,Walmart purchase,Walmart,Groceries,283.88
2023-08-26,Walgreens purchase,Walgreens,Health,170.56
2024-06-23,edX purchase,edX,Education,455.09
2023-12-15,Skillshare purchase,Skillshare,Education,422.24
2024-06-29,Delta purchase,Delta,Travel,8.78
2023-11-15,Target purchase,Target,Shopping,33.35
2023-02-11,Water Works purchase,Water Works,Utilities,412.5
2024-05-19,GNC purchase,GNC,Health,116.18
2024-04-15,Target purchase,Target,Shopping,231.37
2024-02-04,Coursera purchase,Coursera,Education,454.18
2023-02-13,AMC Theatres purchase,AMC Theatres,Entertainment,70.14
2023-12-02,Walgreens purchase,Walgreens,Health,443.44
2023-02-23,eBay purchase,eBay,Shopping,199.01
2024-01-26,Whole Foods purchase,Whole Foods,Groceries,228.96
2024-04-13,GNC purchase,GNC,Health,201.63
2023-06-11,Domino's purchase,Domino's,Dining,74.91
2023-08-25,Netflix purchase,Netflix,Entertainment,445.77
2023-08-05,Netflix purchase,Netflix,Entertainment,164.63
2024-06-14,Coursera purchase,Coursera,Education,435.49
2024-05-06,Local Store purchase,Local Store,Misc,356.98
2024-01-25,Domino's purchase,Domino's,Dining,465.26
2023-02-22,Gift Shop purchase,Gift Shop,Misc,358.16
2024-06-14,Water Works purchase,Water Works,Utilities,67.0
2024-03-05,GNC purchase,GNC,Health,381.47
2024-01-22,Expedia purchase,Expedia,Travel,94.93
2024-01-23,Internet Provider purchase,Internet Provider,Utilities,419.01
2023-07-24,edX purchase,edX,Education,278.46
2023-05-28,Water Works purchase,Water Works,Utilities,457.14
2023-10-25,Internet Provider purchase,Internet Provider,Utilities,53.33
2023-12-21,Electric Co purchase,Electric Co,Utilities,378.16
2024-05-10,Gas Supply purchase,Gas Supply,Utilities,265.0
2024-04-29,Shell purchase,Shell,Transport,275.46
2023-06-30,Hulu purchase,Hulu,Entertainment,292.82
2023-08-29,Electric Co purchase,Electric Co,Utilities,468.91
2024-06-12,Health Clinic purchase,Health Clinic,Health,326.06
2023-11-28,Gift Shop purchase,Gift Shop,Misc,40.64
2023-10-02,Skillshare purchase,Skillshare,Education,103.5
2023-01-24,McDonald's purchase,McDonald's,Dining,278.19
2023-06-21,Best Buy purchase,Best Buy,Shopping,476.94
2024-06-23,Electric Co purchase,Electric Co,Utilities,378.28
2023-07-31,Walgreens purchase,Walgreens,Health,498.18
2023-02-25,Local Store purchase,Local Store,Misc,285.19
2024-03-28,eBay purchase,eBay,Shopping,292.34
2024-01-05,Netflix purchase,Netflix,Entertainment,308.94
2024-01-09,Udemy purchase,Udemy,Education,279.58
2023-07-21,Walgreens purchase,Walgreens,Health,385.03
2023-02-04,CVS Pharmacy purchase,CVS Pharmacy,Health,278.83
2024-04-08,Coursera purchase,Coursera,Education,430.4
2023-04-26,Water Works purchase,Water Works,Utilities,447.61
2024-03-11,Delta purchase,Delta,Travel,302.84
2023-09-21,Shell purchase,Shell,Transport,58.29
2023-08-10,Gas Supply purchase,Gas Supply,Utilities,151.09
2023-07-14,Expedia purchase,Expedia,Travel,95.89
2023-04-02,Whole Foods purchase,Whole Foods,Groceries,323.24
2024-04-18,Uber purchase,Uber,Transport,381.04
2023-02-05,Donation Center purchase,Donation Center,Misc,497.92
2023-12-02,Water Works purchase,Water Works,Utilities,467.87
2024-02-04,Donation Center purchase,Donation Center,Misc,56.84
2024-04-08,Health Clinic purchase,Health Clinic,Health,370.07
2023-04-23,Coursera purchase,Coursera,Education,67.54
2023-03-04,Lyft purchase,Lyft,Transport,263.0
2023-03-18,Local Store purchase,Local Store,Misc,300.41
2023-08-11,Walmart purchase,Walmart,Groceries,174.96
2023-06-27,Domino's purchase,Domino's,Dining,378.03
2023-02-20,Chipotle purchase,Chipotle,Dining,458.48
2023-07-08,GNC purchase,GNC,Health,190.85
2024-01-15,Target purchase,Target,Shopping,199.16
